epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3771.04,0.38742,0.39065,0.79758,0.59254,0.49394,0.4947,0.45185,0.43869,0.41756,0.78457,0.000117433,0.000117433,0.000117433
43,3859.07,0.39369,0.39893,0.80146,0.59559,0.49394,0.49494,0.45973,0.46167,0.40127,0.79072,0.000116371,0.000116371,0.000116371
44,3947.31,0.37948,0.38267,0.79898,0.59449,0.49394,0.49446,0.45542,0.44003,0.39822,0.77988,0.000115308,0.000115308,0.000115308
45,4035.19,0.39253,0.43157,0.80042,0.5975,0.4697,0.48985,0.44033,0.53237,0.40789,0.78816,0.000114246,0.000114246,0.000114246
46,4123.51,0.37692,0.38688,0.79864,0.5934,0.49394,0.49489,0.43004,0.48933,0.41885,0.79022,0.000113183,0.000113183,0.000113183
47,4212.39,0.42171,0.39672,0.82315,0.59519,0.49394,0.49505,0.46517,0.4607,0.38035,0.78622,0.00011212,0.00011212,0.00011212
48,4299.79,0.39435,0.39194,0.80195,0.59675,0.49394,0.4951,0.45144,0.47323,0.41498,0.78534,0.000111058,0.000111058,0.000111058
49,4387.73,0.37953,0.3893,0.80539,0.59594,0.49394,0.49446,0.46115,0.42461,0.39355,0.77842,0.000109995,0.000109995,0.000109995
50,4475.03,0.37283,0.37341,0.7937,0.59407,0.49394,0.49578,0.45501,0.41318,0.39022,0.77835,0.000108933,0.000108933,0.000108933
51,4562.73,0.36841,0.37585,0.79693,0.59569,0.49394,0.49489,0.46715,0.40451,0.38672,0.77723,0.00010787,0.00010787,0.00010787
52,4650.06,0.35047,0.36466,0.80236,0.59311,0.49394,0.49576,0.44235,0.48523,0.41038,0.78621,0.000106807,0.000106807,0.000106807
53,4739.85,0.35186,0.38203,0.79556,0.59212,0.49394,0.49453,0.46075,0.42427,0.39856,0.77751,0.000105745,0.000105745,0.000105745
54,4827.44,0.35485,0.36182,0.79448,0.59355,0.47263,0.49226,0.4603,0.42723,0.42407,0.77471,0.000104682,0.000104682,0.000104682
55,4915.17,0.35924,0.37113,0.79846,0.5952,0.49394,0.49428,0.47378,0.37611,0.40213,0.7729,0.00010362,0.00010362,0.00010362
56,5005.12,0.34894,0.35277,0.80144,0.59748,0.49439,0.49519,0.47248,0.3863,0.37179,0.77197,0.000102557,0.000102557,0.000102557
57,5093.49,0.35421,0.34832,0.78975,0.59703,0.49436,0.49612,0.4679,0.3883,0.36581,0.77448,0.000101494,0.000101494,0.000101494
58,5180.62,0.3501,0.36223,0.79798,0.59574,0.49394,0.49577,0.47844,0.32179,0.34043,0.76412,0.000100432,0.000100432,0.000100432
59,5268.39,0.34547,0.35689,0.7974,0.59723,0.49394,0.49549,0.46527,0.35112,0.33907,0.76785,9.93692e-05,9.93692e-05,9.93692e-05
60,5359.64,0.3774,0.34636,0.79856,0.59742,0.49394,0.49603,0.45336,0.48237,0.40487,0.78107,9.83066e-05,9.83066e-05,9.83066e-05
61,97.6319,0.36234,0.37839,0.79265,0.5951,0.49394,0.49475,0.46126,0.40881,0.3659,0.76674,9.7244e-05,9.7244e-05,9.7244e-05
62,189.318,0.36335,0.37671,0.8011,0.59646,0.49444,0.49482,0.46981,0.33337,0.31863,0.76302,9.61814e-05,9.61814e-05,9.61814e-05
63,279.078,0.33821,0.34407,0.78869,0.59754,0.49448,0.49484,0.4588,0.3735,0.3218,0.76952,9.51188e-05,9.51188e-05,9.51188e-05
64,366.567,0.33484,0.3486,0.79821,0.59678,0.49394,0.49479,0.46522,0.37882,0.36726,0.76818,9.40562e-05,9.40562e-05,9.40562e-05
65,456.222,0.33409,0.34779,0.80198,0.5977,0.49394,0.49603,0.45979,0.4641,0.4005,0.77759,9.29936e-05,9.29936e-05,9.29936e-05
66,558.239,0.33141,0.34903,0.79014,0.59766,0.49394,0.49489,0.46943,0.39881,0.38558,0.77282,9.1931e-05,9.1931e-05,9.1931e-05
67,651.88,0.32369,0.32696,0.79668,0.49746,0.49394,0.49609,0.47412,0.40142,0.36446,0.77115,9.08684e-05,9.08684e-05,9.08684e-05
68,739.196,0.3269,0.32768,0.7948,0.5972,0.49394,0.49606,0.46743,0.42014,0.35823,0.77123,8.98058e-05,8.98058e-05,8.98058e-05
69,824.136,0.33346,0.32249,0.79538,0.49647,0.49394,0.49573,0.45129,0.52708,0.41366,0.78195,8.87432e-05,8.87432e-05,8.87432e-05
70,909.247,0.29799,0.31045,0.79138,0.49723,0.49394,0.49609,0.47018,0.42639,0.34218,0.77123,8.76806e-05,8.76806e-05,8.76806e-05
71,995.84,0.339,0.34044,0.79147,0.49802,0.49446,0.49615,0.46014,0.49685,0.35694,0.77901,8.6618e-05,8.6618e-05,8.6618e-05
72,1080.84,0.34201,0.33214,0.79213,0.59683,0.49394,0.49474,0.46996,0.41054,0.33419,0.77125,8.55554e-05,8.55554e-05,8.55554e-05
73,1166.73,0.32282,0.31453,0.79263,0.59776,0.49394,0.49477,0.46482,0.39828,0.33337,0.76857,8.44928e-05,8.44928e-05,8.44928e-05
74,1252.12,0.3184,0.31953,0.78606,0.59885,0.49451,0.49615,0.4761,0.3423,0.31396,0.76329,8.34302e-05,8.34302e-05,8.34302e-05
75,1337.29,0.30257,0.30582,0.79133,0.49865,0.4945,0.49494,0.47166,0.37516,0.31954,0.76526,8.23676e-05,8.23676e-05,8.23676e-05
76,1424.45,0.28343,0.29865,0.79,0.49744,0.49394,0.4949,0.47564,0.33475,0.29405,0.76294,8.1305e-05,8.1305e-05,8.1305e-05
77,1511.4,0.30881,0.30574,0.8011,0.49854,0.49505,0.49488,0.47706,0.30194,0.27997,0.76336,8.02424e-05,8.02424e-05,8.02424e-05
78,1596.38,0.29706,0.3155,0.7958,0.59862,0.49509,0.49548,0.47257,0.34724,0.30019,0.7673,7.91798e-05,7.91798e-05,7.91798e-05
79,1682.01,0.29957,0.30562,0.78786,0.59866,0.49452,0.49582,0.47399,0.37461,0.31621,0.7639,7.81172e-05,7.81172e-05,7.81172e-05
80,1767.5,0.30757,0.30424,0.79664,0.49821,0.4953,0.49605,0.47354,0.42292,0.32784,0.76711,7.70546e-05,7.70546e-05,7.70546e-05
81,1853.07,0.31214,0.3062,0.79649,0.49869,0.49496,0.49618,0.46615,0.393,0.3432,0.76684,7.5992e-05,7.5992e-05,7.5992e-05
82,1940.52,0.28962,0.28147,0.78258,0.59849,0.49434,0.4955,0.47556,0.2967,0.2979,0.75892,7.49294e-05,7.49294e-05,7.49294e-05
83,2026.63,0.29117,0.30237,0.79478,0.59858,0.49492,0.49521,0.47994,0.28484,0.29428,0.76086,7.38668e-05,7.38668e-05,7.38668e-05
84,2112.46,0.30944,0.31175,0.79183,0.59855,0.49519,0.49495,0.4812,0.28835,0.28437,0.75924,7.28042e-05,7.28042e-05,7.28042e-05
85,2201.83,0.2978,0.29755,0.79655,0.49834,0.49446,0.4949,0.4763,0.35941,0.29485,0.76226,7.17416e-05,7.17416e-05,7.17416e-05
86,2288.18,0.27786,0.29076,0.78547,0.49603,0.4963,0.49621,0.47468,0.28149,0.28537,0.75684,7.0679e-05,7.0679e-05,7.0679e-05
87,2373.45,0.31083,0.2971,0.79435,0.49719,0.49634,0.49612,0.47067,0.34882,0.30018,0.76114,6.96164e-05,6.96164e-05,6.96164e-05
88,2459.97,0.27812,0.30119,0.78661,0.59805,0.49536,0.4967,0.46345,0.36356,0.29515,0.76129,6.85538e-05,6.85538e-05,6.85538e-05
89,2546.63,0.29443,0.30137,0.79028,0.59793,0.4964,0.49493,0.48219,0.31275,0.29919,0.75995,6.74912e-05,6.74912e-05,6.74912e-05
90,2632.67,0.28914,0.29164,0.78933,0.59753,0.49635,0.49906,0.48425,0.29801,0.31074,0.76005,6.64286e-05,6.64286e-05,6.64286e-05
91,2722.72,0.29119,0.28588,0.78644,0.59831,0.49455,0.49898,0.48113,0.32857,0.30407,0.76248,6.5366e-05,6.5366e-05,6.5366e-05
92,2808.94,0.306,0.29095,0.77871,0.598,0.49454,0.49894,0.48796,0.31353,0.30842,0.76386,6.43034e-05,6.43034e-05,6.43034e-05
93,2894.97,0.29264,0.28406,0.79412,0.59655,0.4963,0.49487,0.47768,0.31198,0.31008,0.75854,6.32408e-05,6.32408e-05,6.32408e-05
94,2981.15,0.28196,0.28524,0.78678,0.59798,0.49394,0.49601,0.48636,0.31429,0.30415,0.75921,6.21782e-05,6.21782e-05,6.21782e-05
95,3067.8,0.28454,0.29128,0.79888,0.59663,0.49394,0.49888,0.47954,0.35716,0.30318,0.759,6.11156e-05,6.11156e-05,6.11156e-05
96,3154.05,0.28645,0.28419,0.79048,0.59691,0.49394,0.49907,0.48213,0.35838,0.29897,0.76237,6.0053e-05,6.0053e-05,6.0053e-05
97,3240.29,0.27796,0.26512,0.78852,0.59785,0.49394,0.49913,0.48115,0.35371,0.30294,0.76489,5.89904e-05,5.89904e-05,5.89904e-05
98,3325.51,0.27055,0.26457,0.78681,0.5975,0.49394,0.49486,0.47678,0.3706,0.31145,0.76743,5.79278e-05,5.79278e-05,5.79278e-05
