epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1698.91,0.37061,0.54718,0.79892,0.4854,0.49697,0.49539,0.4466,0.51644,0.54925,0.80506,3.66758e-05,3.66758e-05,3.66758e-05
41,1740.19,0.47072,0.71115,0.82547,0.4972,0.4697,0.48514,0.4469,0.49211,0.58422,0.79751,3.3488e-05,3.3488e-05,3.3488e-05
42,1781.45,0.4839,0.71646,0.8179,0.49587,0.4697,0.4823,0.44476,0.5194,0.60773,0.79658,3.03002e-05,3.03002e-05,3.03002e-05
43,1822.9,0.47056,0.77875,0.81482,0.48346,0.49697,0.49386,0.44561,0.50204,0.5653,0.79851,2.71124e-05,2.71124e-05,2.71124e-05
44,1864.03,0.4414,0.65067,0.81325,0.48893,0.49697,0.49528,0.45413,0.51087,0.55568,0.7948,2.39246e-05,2.39246e-05,2.39246e-05
45,1907.42,0.43978,0.68889,0.8042,0.49056,0.49697,0.49532,0.45505,0.51215,0.56075,0.79629,2.07368e-05,2.07368e-05,2.07368e-05
46,1948.49,0.44129,0.6794,0.80108,0.48724,0.49697,0.49532,0.4506,0.4938,0.5631,0.79198,1.7549e-05,1.7549e-05,1.7549e-05
47,1989.55,0.42907,0.66802,0.79698,0.48695,0.49697,0.49455,0.44334,0.51858,0.57705,0.79312,1.43612e-05,1.43612e-05,1.43612e-05
48,2031.44,0.42187,0.64497,0.8183,0.49024,0.49697,0.4953,0.44815,0.51506,0.57168,0.79635,1.11734e-05,1.11734e-05,1.11734e-05
49,2072.68,0.43617,0.72551,0.81267,0.49313,0.49645,0.49526,0.45387,0.51311,0.56052,0.79482,7.9856e-06,7.9856e-06,7.9856e-06
50,2115.31,0.48371,0.67947,0.80742,0.49326,0.49647,0.49524,0.45404,0.51708,0.56684,0.79465,4.7978e-06,4.7978e-06,4.7978e-06
