epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1928.78,0.51861,0.62333,0.83033,0.9529,0.88518,0.93317,0.79165,0.79803,0.95817,0.88841,9.56501e-05,9.56501e-05,9.56501e-05
43,1972.16,0.48658,0.60534,0.82059,0.87508,0.93939,0.90485,0.75715,0.75182,0.90022,0.87121,9.40562e-05,9.40562e-05,9.40562e-05
44,2016.47,0.49388,0.61408,0.82869,0.98481,0.91515,0.94086,0.80163,0.75343,0.88832,0.87592,9.24623e-05,9.24623e-05,9.24623e-05
45,2059.06,0.5944,0.65676,0.83146,0.99075,0.9378,0.94657,0.78572,0.73934,0.88484,0.87767,9.08684e-05,9.08684e-05,9.08684e-05
46,2100.57,0.49235,0.62053,0.83009,0.99593,0.93686,0.94552,0.80278,0.70052,0.8763,0.8738,8.92745e-05,8.92745e-05,8.92745e-05
47,2141.61,0.48156,0.58923,0.82061,0.99623,0.93813,0.9477,0.80163,0.7511,0.91226,0.86628,8.76806e-05,8.76806e-05,8.76806e-05
48,2184.89,0.48337,0.57411,0.82325,0.99437,0.93762,0.94964,0.8219,0.72015,0.84789,0.86792,8.60867e-05,8.60867e-05,8.60867e-05
49,2226.17,0.45851,0.58366,0.81447,0.98973,0.93515,0.95122,0.82081,0.71439,0.83335,0.85979,8.44928e-05,8.44928e-05,8.44928e-05
50,2268,0.46311,0.5925,0.81333,0.98851,0.9339,0.95938,0.82934,0.67774,0.83977,0.85429,8.28989e-05,8.28989e-05,8.28989e-05
51,2309.89,0.4782,0.58931,0.812,0.99112,0.93483,0.95172,0.82688,0.75433,0.885,0.87275,8.1305e-05,8.1305e-05,8.1305e-05
52,2351.5,0.46985,0.5663,0.81447,0.99372,0.93529,0.95092,0.80166,0.74488,0.90419,0.86443,7.97111e-05,7.97111e-05,7.97111e-05
53,2393.57,0.4447,0.54875,0.80858,0.99368,0.93586,0.9583,0.83029,0.70767,0.88167,0.86823,7.81172e-05,7.81172e-05,7.81172e-05
54,2436.82,0.46976,0.59774,0.8374,0.99351,0.93477,0.96045,0.80608,0.76369,0.86134,0.86802,7.65233e-05,7.65233e-05,7.65233e-05
55,2478.4,0.42336,0.54785,0.81238,0.99261,0.93555,0.96322,0.81825,0.72871,0.8059,0.86346,7.49294e-05,7.49294e-05,7.49294e-05
56,2522.22,0.45516,0.56167,0.8142,0.99306,0.938,0.96804,0.81054,0.72619,0.80755,0.87028,7.33355e-05,7.33355e-05,7.33355e-05
57,2565.67,0.43219,0.543,0.80664,0.99589,0.9391,0.96113,0.80168,0.76613,0.85074,0.8668,7.17416e-05,7.17416e-05,7.17416e-05
58,2608.06,0.48602,0.60507,0.82725,0.99086,0.93939,0.96223,0.8355,0.66133,0.8413,0.85923,7.01477e-05,7.01477e-05,7.01477e-05
59,2650.21,0.4262,0.54372,0.8094,0.99251,0.93939,0.95663,0.8021,0.71249,0.84784,0.854,6.85538e-05,6.85538e-05,6.85538e-05
60,2692.78,0.4326,0.55673,0.81847,0.99334,0.93596,0.95917,0.81959,0.64893,0.81859,0.84955,6.69599e-05,6.69599e-05,6.69599e-05
61,2734.99,0.46714,0.55598,0.81476,0.99375,0.93626,0.95779,0.8108,0.68437,0.83874,0.85101,6.5366e-05,6.5366e-05,6.5366e-05
62,2777.01,0.43066,0.53196,0.80424,0.99371,0.9381,0.95954,0.82058,0.69995,0.8313,0.85792,6.37721e-05,6.37721e-05,6.37721e-05
63,2818.96,0.4258,0.53731,0.82674,0.9836,0.93939,0.96066,0.80564,0.70339,0.80095,0.86415,6.21782e-05,6.21782e-05,6.21782e-05
64,2861.54,0.40795,0.53883,0.80855,0.98255,0.93939,0.96071,0.83603,0.70712,0.79027,0.86352,6.05843e-05,6.05843e-05,6.05843e-05
65,2903.4,0.3951,0.525,0.80837,0.97971,0.93939,0.96741,0.82746,0.70968,0.80218,0.86841,5.89904e-05,5.89904e-05,5.89904e-05
66,2947.07,0.43754,0.54528,0.81153,0.98889,0.93939,0.9651,0.8258,0.72228,0.8272,0.86446,5.73965e-05,5.73965e-05,5.73965e-05
67,2989.46,0.43174,0.54705,0.81596,0.99238,0.93939,0.97311,0.82012,0.75554,0.82154,0.86914,5.58026e-05,5.58026e-05,5.58026e-05
68,3031.97,0.41615,0.53922,0.81637,0.99316,0.93939,0.97234,0.8191,0.72129,0.79095,0.86621,5.42087e-05,5.42087e-05,5.42087e-05
69,3073.52,0.41572,0.53407,0.81505,0.99339,0.93939,0.97144,0.80463,0.7454,0.7908,0.86892,5.26148e-05,5.26148e-05,5.26148e-05
70,3115.82,0.40133,0.51689,0.80861,0.99226,0.93939,0.97038,0.8032,0.73224,0.7933,0.86702,5.10209e-05,5.10209e-05,5.10209e-05
71,3158.57,0.4446,0.53962,0.81851,0.99273,0.93939,0.97105,0.81952,0.71595,0.7665,0.86443,4.9427e-05,4.9427e-05,4.9427e-05
72,3201.07,0.37827,0.52739,0.80118,0.99325,0.93939,0.97198,0.82581,0.70084,0.76144,0.86202,4.78331e-05,4.78331e-05,4.78331e-05
73,3243.06,0.43518,0.54113,0.81736,0.99423,0.93939,0.96683,0.81881,0.739,0.80733,0.86522,4.62392e-05,4.62392e-05,4.62392e-05
74,3285.57,0.41183,0.52119,0.81336,0.99365,0.93939,0.96899,0.80765,0.75888,0.80868,0.87015,4.46453e-05,4.46453e-05,4.46453e-05
75,3328.12,0.42926,0.53479,0.82115,0.99481,0.93939,0.96592,0.83674,0.70306,0.8146,0.85827,4.30514e-05,4.30514e-05,4.30514e-05
76,3371.86,0.42186,0.52826,0.81357,0.99473,0.93939,0.97028,0.84336,0.69044,0.79427,0.85632,4.14575e-05,4.14575e-05,4.14575e-05
77,3415,0.45736,0.55538,0.84352,0.99428,0.93939,0.97126,0.84359,0.67826,0.74567,0.85477,3.98636e-05,3.98636e-05,3.98636e-05
78,3457.72,0.41173,0.50188,0.80868,0.99408,0.93939,0.97103,0.8432,0.64563,0.78645,0.84984,3.82697e-05,3.82697e-05,3.82697e-05
79,3500.36,0.42203,0.52448,0.81685,0.99381,0.93939,0.97093,0.84364,0.65042,0.78937,0.84773,3.66758e-05,3.66758e-05,3.66758e-05
80,3541.57,0.40455,0.50934,0.80708,0.9941,0.93939,0.97047,0.83324,0.66195,0.78908,0.84479,3.50819e-05,3.50819e-05,3.50819e-05
